Ticker Symbol,Price,Percent Change,Net Change,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
EBAY,27.42,+2.24%,0.6,26.82,26.9,27.80 x 800,28.00 x 1100,26.78 - 27.67,26.36 - 46.99,17060111,10507972
ECL,149,+1.66%,2.44,146.56,137.7,0.00 x 1100,160.00 x 100,137.70 - 149.86,125.74 - 159.92,2967235,1056243
EIX,69.53,+0.61%,0.42,69.11,69.55,0.00 x 900,0.00 x 1000,68.41 - 69.90,57.63 - 83.38,1527735,1990318
EW,142.56,+2.40%,3.34,139.22,139.27,0.00 x 100,0.00 x 300,139.27 - 143.23,100.85 - 175.00,1304931,1647592
EA,94.83,+3.99%,3.64,91.19,91.67,89.59 x 1100,90.50 x 1100,91.00 - 94.83,89.12 - 151.26,5738336,4909312
EMR,67.81,+2.23%,1.48,66.33,66.27,63.15 x 1000,70.36 x 800,66.17 - 67.92,57.47 - 79.70,2895182,2846653
ETR,82.94,-1.27%,-1.07,84.01,84.3,75.78 x 800,0.00 x 1000,82.44 - 84.50,71.95 - 87.95,1843185,1471026
EOG,105.51,+3.40%,3.47,102.04,101.69,0.00 x 1000,0.00 x 900,101.03 - 106.16,96.54 - 133.53,4274156,2772535
EQT,32.87,+6.03%,1.87,31,30.92,28.16 x 800,34.01 x 1800,30.86 - 32.95,30.53 - 66.03,7205766,3292373
EFX,99.03,+2.49%,2.41,96.62,97.09,95.00 x 200,0.00 x 100,96.95 - 99.26,90.54 - 138.69,1416778,1058201
EQIX,376.79,-0.82%,-3.12,379.91,380.53,315.51 x 200,511.00 x 100,374.39 - 383.60,370.79 - 495.35,849372,497727
EQR,65.78,-0.66%,-0.44,66.22,66.45,40.87 x 900,0.00 x 800,65.63 - 66.95,54.97 - 70.46,2052410,1551492
ESS,255.64,-0.35%,-0.91,256.55,257.28,0.00 x 200,0.00 x 800,253.78 - 259.11,214.03 - 264.07,1107801,392678
EL,131.22,+3.76%,4.76,126.46,126.65,0.00 x 1100,135.00 x 1800,126.30 - 131.69,110.52 - 158.80,3522142,2258686
